"year","region_name","sum"
2022,"1 North West Metro",130844
2022,"2 Eastern",76924
2022,"3 Southern Metro",77058
2022,"4 Western",57360
2022,"Justice Institutions and Immigration Facilities",900
2022,"Unincorporated Vic",73
2021,"1 North West Metro",147867
2021,"2 Eastern",87109
2021,"3 Southern Metro",90751
2021,"4 Western",59300
2021,"Justice Institutions and Immigration Facilities",1270
2021,"Unincorporated Vic",30
2020,"1 North West Metro",156020
2020,"2 Eastern",91284
2020,"3 Southern Metro",95788
2020,"4 Western",63749
2020,"Justice Institutions and Immigration Facilities",1377
2020,"Unincorporated Vic",109
2019,"1 North West Metro",149009
2019,"2 Eastern",83459
2019,"3 Southern Metro",89352
2019,"4 Western",62247
2019,"Justice Institutions and Immigration Facilities",1483
2019,"Unincorporated Vic",95
